fpl_code,understat_id,fpl_name,understat_name
204214,5136,Pervis Estupiñán,Estupiñán
224024,7365,Lucas Tolentino Coelho de Lima Paquetá,Lucas Paquetá
233420,7891,Renan Augusto Lodi dos Santos Renan Lodi,Renan Lodi
61256,2248,Carlos Henrique Casimiro Casemiro,Casemiro
69752,1297,Norberto Murara Neto,Neto
465920,11305,Mykhailo Mudryk,Mykhailo Mudryk
503301,10348,Omari Hutchinson,Omari Hutchinson
490503,10072,Samuel Edozie,Samuel Edozie
474120,11058,Julio Enciso,Julio Enciso
211975,6490,Manuel Akanji,Manuel Akanji
499724,11618,Samuel Amo-Ameyaw,Samuel Amo-Ameyaw
156685,561,Joe Rothwell,Joe Rothwell
531989,11268,David Ozoh,David Ozoh
440854,10012,Jakub Kiwior,Jakub Kiwior
248857,11357,Noni Madueke,Noni Madueke
448047,11356,Enzo Fernández,Enzo Fernández
532529,11269,Jack Hinshelwood,Jack Hinshelwood
184386,11359,James Bree,James Bree
491598,11544,Cameron Peupion,Cameron Peupion
496208,11231,Ben Doak,Ben Doak
243298,11296,Cody Gakpo,Cody Gakpo
461416,11232,Thomas Cannon,Thomas Cannon
218218,8646,Wout Faes,Wout Faes
445548,10453,Odeluga Offiah,Odeluga Offiah
194190,6329,Harry Souttar,Harry Souttar
147611,11360,Paul Onuachu,Paul Onuachu
519327,11509,George Abbott,George Abbott
240299,10755,Joseph Hodge,Joseph Hodge
88248,8786,Stefan Ortega Moreno,Stefan Ortega Moreno
476344,11366,Jhon Durán,Jhon Durán
198842,10753,Connor Ronan,Connor Ronan
466117,9274,Naouirou Ahamada,Naouirou Ahamada
173271,7007,Duje Caleta-Car,Duje Caleta-Car
463067,6937,Georginio Rutter,Georginio Rutter
212701,6147,Denis Zakaria,Denis Zakaria
481510,11367,Victor Kristiansen,Victor Kristiansen
492776,11233,Dexter Lembikisa,Dexter Lembikisa
79602,11361,Daniel Bentley,Daniel Bentley
28411,2243,Keylor Navas,Keylor Navas
470294,10752,Darko Gyabi,Darko Gyabi
448791,8458,Harvey White,Harvey White
516895,11174,Kobbie Mainoo,Kobbie Mainoo
513834,11193,Andrew Moran,Andrew Moran
81205,11298,Mislav Orsic,Mislav Orsic
492859,11155,Wilfried Gnonto,Wilfried Gnonto
441164,6912,Pedro Porro,Pedro Porro
536916,11362,Facundo Buonanotte,Facundo Buonanotte
212314,1537,Sasa Lukic,Sasa Lukic
463210,11594,Shea Charles,Shea Charles
241519,5360,Weston McKennie,Weston McKennie
244085,10749,Siriki Dembélé,Siriki Dembélé
547719,11386,Lewis Miley,Lewis Miley
487818,11005,Joseph Whitworth,Joseph Whitworth
513418,9156,Kevin Schade,Kevin Schade
477580,11486,Illia Zabarnyi,Illia Zabarnyi
461201,10579,Matthew Craig,Matthew Craig
487837,11242,Divin Mubama,Divin Mubama
487838,10216,Lewis Hall,Lewis Hall
88484,2199,Pablo Sarabia,Pablo Sarabia
207270,10808,Daniel Iversen,Daniel Iversen
502697,11297,Carlos Alcaraz,Carlos Alcaraz
155561,6083,Ludwig Augustinsson,Ludwig Augustinsson
220087,7366,Maximilian Wöber,Maximilian Wöber
494541,11582,Kamari Doyle,Kamari Doyle
504783,9630,Kamaldeen Sulemana,Kamaldeen Sulemana
515024,10719,Luke Harris,Luke Harris
494543,11583,Dominic Ballard,Dominic Ballard
482769,11378,Máximo Perrone,Máximo Perrone
533463,9662,Dango Ouattara,Dango Ouattara
101338,5248,Marcel Sabitzer,Marcel Sabitzer
437730,11363,Antoine Semenyo,Antoine Semenyo
499175,11132,Ethan Nwaneri,Ethan Nwaneri
509416,11385,Yasin Ayari,Yasin Ayari
89068,3298,Layvin Kurzawa,Layvin Kurzawa
476502,8119,Boubacar Traoré,Boubacar Traore
244704,9892,Matías Viña,Matias Viña
210494,6935,Nayef Aguerd,Naif Aguerd
488404,9324,Facundo Pellistri Rebollo,Facundo Pellistri
515571,11078,Juan Larios López,Juan Larios
490721,10140,Hugo Bueno López,Hugo Bueno
520295,11295,David Datro Fofana D.D.Fofana,David Datro Fofana
482442,9021,Pape Matar Sarr,Pape Sarr
242880,7240,Benoît Badiashile,Benoit Badiashile Mukinayi
429414,8812,Sasa Kalajdzic Kalajdžić,Sasa Kalajdzic
565297,11208,Mateo Joseph Fernández,Mateo Joseph
428399,7892,João Félix Sequeira,João Félix
185253,11284,Gustavo Henrique Furtado Scarpa,Gustavo Scarpa
430871,7080,Matheus Santos Carneiro Da Cunha,Matheus Cunha
424044,6986,Hamed Traorè H.Traorè,Hamed Junior Traore
438098,11007,Fábio Ferreira Vieira Fábio Vieira,Fábio Vieira
106468,4120,Alexandre Moreno Lopera Álex Moreno,Álex Moreno
479683,11035,Marcus Oliveira Alencar Marquinhos,Marquinhos
448089,11384,João Victor Gomes da Silva João Gomes,João Gomes
467169,11094,Antony Matheus dos Santos,Antony
513046,11317,Danilo dos Santos de Oliveira,Danilo
116404,7921,Felipe Augusto de Almeida Monteiro,Felipe
225295,10536,Mateus Cardoso Lemos Martins Tetê,Tetê
196100,11839,Gustavo Hamer,Gustavo Hamer
156700,11717,Carlton Morris,Carlton Morris
519198,12086,Alex Matos,Alex Matos
501284,11487,Michael Olakigbe,Michael Olakigbe
244262,11723,Alfie Doughty,Alfie Doughty
460842,12027,Mohammed Kudus,Mohammed Kudus
118342,7047,Mark Flekken,Mark Flekken
432720,9077,James Trafford,James Trafford
441428,10187,Jarell Quansah,Jarell Quansah
538207,9556,William Osula,William Osula
538210,11731,Andre Brooks,Andre Brooks
544877,11709,Milos Kerkez,Milos Kerkez
463981,10747,James Hill,James Hill
104047,11716,Pelly Ruddock Mpanzu,Pelly Ruddock Mpanzu
244856,12073,Teden Mengi,Teden Mengi
231057,7762,Jean-Ricner Bellegarde,Jean-Ricner Bellegarde
168090,205,Mahmoud Dahoud,Mahmoud Dahoud
489639,11711,Bart Verbruggen,Bart Verbruggen
