event,id,kickoff_time,opponent_team,team_a_score,team_h_score,team_a,team_h
35,350,2018-04-21T11:30:00Z,10,2,2,10,19
35,347,2018-04-22T15:30:00Z,16,0,5,16,11
35,348,2018-04-22T12:30:00Z,4,1,1,4,15
36,360,2018-04-29T13:15:00Z,11,4,1,11,20
36,351,2018-04-28T14:00:00Z,3,0,0,3,4
36,353,2018-04-28T14:00:00Z,7,2,0,7,8
36,352,2018-04-28T14:00:00Z,9,0,5,9,6
36,354,2018-04-28T11:30:00Z,15,0,0,15,10
36,356,2018-04-28T14:00:00Z,19,1,0,19,13
36,355,2018-04-29T15:30:00Z,1,1,2,1,12
36,357,2018-04-28T14:00:00Z,2,1,2,2,14
36,358,2018-04-28T16:30:00Z,5,1,0,5,16
36,359,2018-04-30T19:00:00Z,18,0,2,18,17
37,310,2018-05-10T18:45:00Z,12,0,0,12,20
37,362,2018-05-05T14:00:00Z,16,0,1,16,2
37,361,2018-05-06T15:30:00Z,4,0,5,4,1
37,369,2018-05-05T14:00:00Z,13,1,2,13,18
37,365,2018-05-05T16:30:00Z,14,1,1,14,7
37,366,2018-05-05T14:00:00Z,20,2,0,20,9
37,304,2018-05-09T18:45:00Z,1,1,3,1,9
37,370,2018-05-05T14:00:00Z,17,0,1,17,19
37,367,2018-05-06T12:30:00Z,8,0,0,8,11
37,306,2018-05-09T19:00:00Z,3,1,3,3,11
37,308,2018-05-08T18:45:00Z,14,1,0,14,16
37,309,2018-05-09T19:00:00Z,13,0,1,13,17
37,364,2018-05-06T15:30:00Z,10,0,1,10,5
37,344,2018-05-09T18:45:00Z,8,1,1,8,5
37,363,2018-05-04T19:00:00Z,12,0,1,12,3
37,368,2018-05-05T11:30:00Z,6,2,1,6,15
38,380,2018-05-13T14:00:00Z,7,1,3,7,20
38,371,2018-05-13T14:00:00Z,2,2,1,2,4
38,373,2018-05-13T14:00:00Z,1,1,0,1,8
38,372,2018-05-13T14:00:00Z,19,0,2,19,6
38,374,2018-05-13T14:00:00Z,3,0,4,3,10
38,376,2018-05-13T14:00:00Z,5,0,3,5,13
38,375,2018-05-13T14:00:00Z,18,0,1,18,12
38,377,2018-05-13T14:00:00Z,11,1,0,11,14
38,378,2018-05-13T14:00:00Z,15,2,1,15,16
38,379,2018-05-13T14:00:00Z,9,4,5,9,17
4,40,2017-09-11T19:00:00Z,8,0,2,8,20
4,33,2017-09-09T14:00:00Z,17,3,0,17,7
4,31,2017-09-09T14:00:00Z,2,0,3,2,1
4,34,2017-09-09T14:00:00Z,5,2,1,5,9
4,35,2017-09-09T11:30:00Z,10,0,5,10,11
4,36,2017-09-09T14:00:00Z,18,2,0,18,14
4,39,2017-09-10T15:00:00Z,13,1,0,13,16
4,32,2017-09-09T14:00:00Z,19,1,3,19,3
4,38,2017-09-10T12:30:00Z,6,0,1,6,4
4,37,2017-09-09T16:30:00Z,12,2,2,12,15
5,43,2017-09-16T14:00:00Z,9,1,1,9,8
5,47,2017-09-16T14:00:00Z,11,6,0,11,18
5,41,2017-09-15T19:00:00Z,3,1,2,3,2
5,44,2017-09-16T14:00:00Z,4,1,1,4,10
5,48,2017-09-16T14:00:00Z,20,0,0,20,19
5,45,2017-09-16T14:00:00Z,15,1,2,15,13
5,50,2017-09-17T15:00:00Z,7,0,4,7,12
5,49,2017-09-17T12:30:00Z,1,0,0,1,5
5,42,2017-09-16T11:30:00Z,14,1,0,14,6
5,46,2017-09-16T16:30:00Z,16,0,0,16,17
6,58,2017-09-23T11:30:00Z,17,3,2,17,20
6,52,2017-09-23T14:00:00Z,2,1,2,2,7
6,60,2017-09-25T19:00:00Z,19,0,2,19,1
6,51,2017-09-23T14:00:00Z,8,0,0,8,4
6,53,2017-09-23T16:30:00Z,10,3,2,10,9
6,54,2017-09-23T14:00:00Z,6,0,5,6,11
6,55,2017-09-23T14:00:00Z,12,1,0,12,14
6,57,2017-09-23T14:00:00Z,18,2,1,18,16
6,59,2017-09-24T15:00:00Z,13,0,1,13,3
6,56,2017-09-23T14:00:00Z,5,4,0,5,15
7,67,2017-09-30T14:00:00Z,16,0,1,16,20
7,69,2017-10-01T13:15:00Z,4,1,0,4,7
7,63,2017-09-30T11:30:00Z,17,4,0,17,8
7,61,2017-09-30T14:00:00Z,9,0,0,9,2
7,68,2017-10-01T11:00:00Z,3,0,2,3,1
7,66,2017-09-30T14:00:00Z,18,2,2,18,19
7,70,2017-10-01T15:30:00Z,10,1,1,10,13
7,64,2017-09-30T14:00:00Z,6,0,4,6,12
7,62,2017-09-30T16:30:00Z,11,1,0,11,5
7,65,2017-09-30T14:00:00Z,14,1,2,14,15
8,80,2017-10-14T16:30:00Z,1,1,2,1,18
8,75,2017-10-14T11:30:00Z,12,0,0,12,10
8,72,2017-10-14T14:00:00Z,20,1,1,20,4
8,74,2017-10-16T19:00:00Z,19,1,1,19,9
8,76,2017-10-14T14:00:00Z,15,2,7,15,11
8,77,2017-10-15T15:00:00Z,13,2,2,13,14
8,78,2017-10-14T14:00:00Z,8,0,2,8,16
8,73,2017-10-14T14:00:00Z,5,1,2,5,6
8,71,2017-10-15T12:30:00Z,7,1,1,7,3
8,79,2017-10-14T14:00:00Z,2,0,1,2,17
9,90,2017-10-20T19:00:00Z,3,3,0,3,20
9,82,2017-10-22T12:30:00Z,1,5,2,1,7
9,83,2017-10-21T14:00:00Z,12,1,2,12,8
9,84,2017-10-21T14:00:00Z,4,0,3,4,11
9,85,2017-10-21T14:00:00Z,6,0,1,6,13
9,86,2017-10-21T16:30:00Z,19,0,1,19,14
9,88,2017-10-21T14:00:00Z,9,2,1,9,16
9,81,2017-10-21T11:30:00Z,18,2,4,18,5
9,89,2017-10-22T15:00:00Z,10,1,4,10,17
9,87,2017-10-21T14:00:00Z,2,2,1,2,15
